Date,Category,Value
2016-02-17,Magnificent 7,1450.726458569674
2016-02-17,Rest of S&P 500,13578.469122485014
2016-02-18,Magnificent 7,1431.1898774745623
2016-02-18,Rest of S&P 500,13527.883779752
2016-02-19,Magnificent 7,1437.2243531761444
2016-02-19,Rest of S&P 500,13521.45987533948
2016-02-22,Magnificent 7,1469.3533100935945
2016-02-22,Rest of S&P 500,13705.546689906405
2016-02-23,Magnificent 7,1441.7282838823617
2016-02-23,Rest of S&P 500,13544.17786846139
2016-02-24,Magnificent 7,1452.863243747437
2016-02-24,Rest of S&P 500,13599.577137111937
2016-02-25,Magnificent 7,1467.378906366109
2016-02-25,Rest of S&P 500,13755.880712774515
2016-02-26,Magnificent 7,1461.6457796686818
2016-02-26,Rest of S&P 500,13733.144601190692
2016-02-29,Magnificent 7,1452.5660747715508
2016-02-29,Rest of S&P 500,13618.827772884699
2016-03-01,Magnificent 7,1503.822169143292
2016-03-01,Rest of S&P 500,13927.30764042702
2016-03-02,Magnificent 7,1507.6682129989722
2016-03-02,Rest of S&P 500,13986.64140614165
2016-03-03,Magnificent 7,1503.1816249057497
2016-03-03,Rest of S&P 500,14045.338565523936
2016-03-04,Magnificent 7,1503.0302910610253
2016-03-04,Rest of S&P 500,14096.8916327671
2016-03-07,Magnificent 7,1476.0881207047769
2016-03-07,Rest of S&P 500,14137.639955467097
2016-03-08,Magnificent 7,1475.676849790165
2016-03-08,Rest of S&P 500,13962.551226381709
2016-03-09,Magnificent 7,1491.5531710068503
2016-03-09,Rest of S&P 500,14024.674905165024
2016-03-10,Magnificent 7,1486.981114862034
2016-03-10,Rest of S&P 500,14031.664466192653
2016-03-11,Magnificent 7,1512.055186504582
2016-03-11,Rest of S&P 500,14261.026356464168
2016-03-14,Magnificent 7,1519.9254486277548
2016-03-14,Rest of S&P 500,14233.266665630057
2016-03-15,Magnificent 7,1533.9252836752848
2016-03-15,Rest of S&P 500,14190.329135270029
2016-03-16,Magnificent 7,1548.6905654438385
2016-03-16,Rest of S&P 500,14263.625206040537
2016-03-17,Magnificent 7,1540.8589562655743
2016-03-17,Rest of S&P 500,14375.742777132862
2016-03-18,Magnificent 7,1531.701070296498
2016-03-18,Rest of S&P 500,14455.023539078502
2016-03-21,Magnificent 7,1539.2211354042595
2016-03-21,Rest of S&P 500,14463.25962631449
2016-03-22,Magnificent 7,1546.101051975703
2016-03-22,Rest of S&P 500,14442.33932888367
2016-03-23,Magnificent 7,1546.028112865208
2016-03-23,Rest of S&P 500,14340.309582447291
2016-03-24,Magnificent 7,1554.6744068256878
2016-03-24,Rest of S&P 500,14325.657136143062
2016-03-28,Magnificent 7,1548.7280198551418
2016-03-28,Rest of S&P 500,14340.262361004234
2016-03-29,Magnificent 7,1581.466029345451
2016-03-29,Rest of S&P 500,14447.612046826423
2016-03-30,Magnificent 7,1589.666308539754
2016-03-30,Rest of S&P 500,14509.14331060087
2016-03-31,Magnificent 7,1583.9283690773286
2016-03-31,Rest of S&P 500,14482.043554750797
2016-04-01,Magnificent 7,1600.3461067973262
2016-04-01,Rest of S&P 500,14567.3381217183
2016-04-04,Magnificent 7,1593.3392508685429
2016-04-04,Rest of S&P 500,14522.473835068957
2016-04-05,Magnificent 7,1578.7239118173168
2016-04-05,Rest of S&P 500,14373.60243095612
2016-04-06,Magnificent 7,1602.9725061524214
2016-04-06,Rest of S&P 500,14516.974808300703
2016-04-07,Magnificent 7,1580.3566741106426
2016-04-07,Rest of S&P 500,14346.54159249092
2016-04-08,Magnificent 7,1574.0439053907298
2016-04-08,Rest of S&P 500,14397.235904179583
2016-04-11,Magnificent 7,1571.229694353964
2016-04-11,Rest of S&P 500,14356.29222947416
2016-04-12,Magnificent 7,1587.0607078749945
2016-04-12,Rest of S&P 500,14494.35506360938
2016-04-13,Magnificent 7,1607.2350626211708
2016-04-13,Rest of S&P 500,14635.64032800383
2016-04-14,Magnificent 7,1611.8584939378993
2016-04-14,Rest of S&P 500,14633.825734577726
2016-04-15,Magnificent 7,1608.4643628270962
2016-04-15,Rest of S&P 500,14621.229484829153
2016-04-18,Magnificent 7,1614.6285221593746
2016-04-18,Rest of S&P 500,14721.2241633875
2016-04-19,Magnificent 7,1607.1226541526205
2016-04-19,Rest of S&P 500,14779.117726706752
2016-04-20,Magnificent 7,1605.8936106149579
2016-04-20,Rest of S&P 500,14792.825627666292
2016-04-21,Magnificent 7,1605.4688543265615
2016-04-21,Rest of S&P 500,14708.074993329688
2016-04-22,Magnificent 7,1555.3593936954876
2016-04-22,Rest of S&P 500,14758.965215679513
2016-04-25,Magnificent 7,1558.5255682104603
2016-04-25,Rest of S&P 500,14726.23673647704
2016-04-26,Magnificent 7,1539.3848818539134
2016-04-26,Rest of S&P 500,14775.874737286711
2016-04-27,Magnificent 7,1507.8656502937583
2016-04-27,Rest of S&P 500,14834.303587987491
2016-04-28,Magnificent 7,1499.328565698171
2016-04-28,Rest of S&P 500,14691.989891333078
2016-04-29,Magnificent 7,1526.9780672021477
2016-04-29,Rest of S&P 500,14582.362313657226
2016-05-02,Magnificent 7,1549.00055110998
2016-05-02,Rest of S&P 500,14686.152915686895
2016-05-03,Magnificent 7,1535.4713035224502
2016-05-03,Rest of S&P 500,14558.815610540049
2016-05-04,Magnificent 7,1532.0844749708306
2016-05-04,Rest of S&P 500,14466.65243909167
2016-05-05,Magnificent 7,1523.0534106812415
2016-05-05,Rest of S&P 500,14471.859675256259
2016-05-06,Magnificent 7,1539.8227498652927
2016-05-06,Rest of S&P 500,14505.868412244083
2016-05-09,Magnificent 7,1540.298972565043
2016-05-09,Rest of S&P 500,14517.482570403707
2016-05-10,Magnificent 7,1567.1562336556258
2016-05-10,Rest of S&P 500,14691.084928453749
