Date,Value,Ticker,Type
2015-11-25,393.22979255478856,AAPL,Mag 7
2015-11-27,392.4967356442165,AAPL,Mag 7
2015-11-30,394.1293021417866,AAPL,Mag 7
2015-12-01,390.9309080456943,AAPL,Mag 7
2015-12-02,387.3994958621235,AAPL,Mag 7
2015-12-03,383.8012884121914,AAPL,Mag 7
2015-12-04,396.5613544287529,AAPL,Mag 7
2015-12-07,394.0626759773655,AAPL,Mag 7
2015-12-08,393.8961105663128,AAPL,Mag 7
2015-12-09,385.20060696697425,AAPL,Mag 7
2015-12-10,387.03291103952404,AAPL,Mag 7
2015-12-11,377.07148213252833,AAPL,Mag 7
2015-12-14,374.7393972758503,AAPL,Mag 7
2015-12-15,368.1093893245354,AAPL,Mag 7
2015-12-16,370.94136769996834,AAPL,Mag 7
2015-12-17,363.0786911558933,AAPL,Mag 7
2015-12-18,353.25043002676966,AAPL,Mag 7
2015-12-21,357.58158165264706,AAPL,Mag 7
2015-12-22,357.24836627957154,AAPL,Mag 7
2015-12-23,361.84607893044665,AAPL,Mag 7
2015-12-24,359.91361014201163,AAPL,Mag 7
2015-12-28,355.8823889906559,AAPL,Mag 7
2015-12-29,362.279120815527,AAPL,Mag 7
2015-12-30,357.5482403867798,AAPL,Mag 7
2015-12-31,350.6851254109612,AAPL,Mag 7
2016-01-04,350.98499951816945,AAPL,Mag 7
2016-01-05,342.1895003048859,AAPL,Mag 7
2016-01-06,335.49292255646327,AAPL,Mag 7
2016-01-07,321.3336507197456,AAPL,Mag 7
2016-01-08,323.0327870144233,AAPL,Mag 7
2016-01-11,328.26347641095543,AAPL,Mag 7
2016-01-12,333.0275290036297,AAPL,Mag 7
2016-01-13,324.46541865141677,AAPL,Mag 7
2016-01-14,331.5616124680824,AAPL,Mag 7
2016-01-15,323.5991375956592,AAPL,Mag 7
2016-01-19,322.03328181348036,AAPL,Mag 7
2016-01-20,322.4664364331875,AAPL,Mag 7
2016-01-21,320.83386993561743,AAPL,Mag 7
2016-01-22,337.8917744958458,AAPL,Mag 7
2016-01-25,331.2951359940548,AAPL,Mag 7
2016-01-26,333.1274400666046,AAPL,Mag 7
2016-01-27,311.2389131165943,AAPL,Mag 7
2016-01-28,313.4710023593273,AAPL,Mag 7
2016-01-29,324.29876868939397,AAPL,Mag 7
2016-02-01,321.26699637166786,AAPL,Mag 7
2016-02-02,314.77043803479194,AAPL,Mag 7
2016-02-03,321.00040716301345,AAPL,Mag 7
2016-02-04,323.57960632157136,AAPL,Mag 7
2016-02-05,314.93739801703833,AAPL,Mag 7
2016-02-08,318.2537407163887,AAPL,Mag 7
2016-02-09,318.1867481644306,AAPL,Mag 7
2016-02-10,315.7749599266262,AAPL,Mag 7
2016-02-11,313.86571447130586,AAPL,Mag 7
2016-02-12,314.83703601555635,AAPL,Mag 7
2016-02-16,323.71373234377097,AAPL,Mag 7
2016-02-17,328.6712657396393,AAPL,Mag 7
2016-02-18,322.44078930559726,AAPL,Mag 7
2016-02-19,321.7038994177151,AAPL,Mag 7
2016-02-22,324.5176993345814,AAPL,Mag 7
2016-02-23,317.18180351774595,AAPL,Mag 7
2016-02-24,321.9048488899326,AAPL,Mag 7
2016-02-25,324.1156876555195,AAPL,Mag 7
2016-02-26,324.61820225434684,AAPL,Mag 7
2016-02-29,323.88119963183783,AAPL,Mag 7
2016-03-01,336.7439950770435,AAPL,Mag 7
2016-03-02,337.48091314858243,AAPL,Mag 7
2016-03-03,339.99326067346567,AAPL,Mag 7
2016-03-04,345.0512688054428,AAPL,Mag 7
2016-03-07,341.232693343832,AAPL,Mag 7
2016-03-08,338.4188934269657,AAPL,Mag 7
2016-03-09,338.7203176352921,AAPL,Mag 7
