quote_date,description,item_id,price,item_name
1997-02-01,LARGE LOAF-WHITE-UNSLICED-800G,210102,0.73905665,Bread
1997-02-01,SAUSAGES-PORK-PER KG,211014,3.095101,Sausages
1997-03-01,BACON-BACK-PER KG,210808,5.83637,Bacon
1997-03-01,EGGS-LARGE-PER DOZ OR 2 X 6,211603,1.6106471,Eggs
1997-03-01,FRESH VEG-MUSHROOMS-PER KG,212520,2.978724,Mushrooms
1997-03-01,FRESH VEG-TOMATOES-PER KG,212515,1.2493073,Tomatoes
1997-03-01,LARGE LOAF-WHITE-UNSLICED-800G,210102,0.7349375,Bread
1997-03-01,SAUSAGES-PORK-PER KG,211014,3.114917,Sausages
1997-04-01,BACON-BACK-PER KG,210808,5.9630475,Bacon
1997-04-01,EGGS-LARGE-PER DOZ OR 2 X 6,211603,1.6184971,Eggs
1997-04-01,FRESH VEG-MUSHROOMS-PER KG,212520,2.927687,Mushrooms
1997-04-01,FRESH VEG-TOMATOES-PER KG,212515,1.2756577,Tomatoes
1997-04-01,LARGE LOAF-WHITE-UNSLICED-800G,210102,0.73613495,Bread
1997-04-01,SAUSAGES-PORK-PER KG,211014,3.0929432,Sausages
1997-05-01,BACON-BACK-PER KG,210808,6.391979,Bacon
1997-05-01,EGGS-LARGE-PER DOZ OR 2 X 6,211603,1.5771345,Eggs
1997-05-01,FRESH VEG-MUSHROOMS-PER KG,212520,3.0303078,Mushrooms
1997-05-01,FRESH VEG-TOMATOES-PER KG,212515,1.1945276,Tomatoes
1997-05-01,LARGE LOAF-WHITE-UNSLICED-800G,210102,0.7417576,Bread
1997-05-01,SAUSAGES-PORK-PER KG,211014,3.0819476,Sausages
1997-06-01,BACON-BACK-PER KG,210808,6.4501314,Bacon
1997-06-01,EGGS-LARGE-PER DOZ OR 2 X 6,211603,1.5223596,Eggs
1997-06-01,FRESH VEG-MUSHROOMS-PER KG,212520,2.946803,Mushrooms
1997-06-01,FRESH VEG-TOMATOES-PER KG,212515,1.2775404,Tomatoes
1997-06-01,LARGE LOAF-WHITE-UNSLICED-800G,210102,0.74962264,Bread
1997-06-01,SAUSAGES-PORK-PER KG,211014,3.1137633,Sausages
1997-07-01,BACON-BACK-PER KG,210808,6.1458,Bacon
1997-07-01,EGGS-LARGE-PER DOZ OR 2 X 6,211603,1.5284394,Eggs
1997-07-01,FRESH VEG-MUSHROOMS-PER KG,212520,2.9792156,Mushrooms
1997-07-01,FRESH VEG-TOMATOES-PER KG,212515,1.3187941,Tomatoes
1997-07-01,LARGE LOAF-WHITE-UNSLICED-800G,210102,0.74319017,Bread
1997-07-01,SAUSAGES-PORK-PER KG,211014,3.114813,Sausages
1997-08-01,BACON-BACK-PER KG,210808,6.2198114,Bacon
1997-08-01,EGGS-LARGE-PER DOZ OR 2 X 6,211603,1.5698265,Eggs
1997-08-01,FRESH VEG-MUSHROOMS-PER KG,212520,3.0237596,Mushrooms
1997-08-01,FRESH VEG-TOMATOES-PER KG,212515,1.1498303,Tomatoes
1997-08-01,LARGE LOAF-WHITE-UNSLICED-800G,210102,0.7370666,Bread
1997-08-01,SAUSAGES-PORK-PER KG,211014,3.083783,Sausages
